Time,Side,Entry,Exit,PnL,PnL%,Vol_x,EMA_dist%,HTF_trend,Result
2026-04-11 12:40,Long,72962.73,72752.17,-0.24,-0.29,1.97,0.11,up,LOSS
2026-04-11 16:15,Long,72909.58,72900.77,-0.11,-0.01,1.62,0.16,up,LOSS
2026-04-13 16:35,Long,72290,75511.27,2.12,4.46,2.13,0.42,up,WIN
2026-04-30 07:30,Long,75999.99,76715.45,0.37,0.94,2.34,0.29,up,WIN
2026-05-18 12:35,Long,77645.43,76621.78,-0.76,-1.32,1.93,0.49,up,LOSS
2026-05-20 10:20,Long,77628.33,77245.77,-0.35,-0.49,1.80,0.16,up,LOSS
2026-05-21 00:45,Long,77948.75,77542.38,-0.36,-0.52,3.28,0.39,up,LOSS
2026-05-21 17:15,Long,77763.5,77546.93,-0.24,-0.28,3.08,0.65,up,LOSS
2026-05-22 04:05,Long,77876.69,77458.01,-0.37,-0.54,3.01,0.17,up,LOSS
2026-05-25 06:05,Long,77577.27,77323.99,-0.26,-0.33,4.88,0.27,up,LOSS
2026-05-25 14:45,Long,77706.04,77354,-0.33,-0.45,3.48,0.27,up,LOSS
2026-05-26 14:15,Long,77526.33,76435.21,-0.8,-1.41,3.49,0.47,up,LOSS
