collected_at,platform,wallet,nickname,rank,score,pnl_30d,roi_30d,win_rate,tx,volume,top_tokens,profile_url
2026-06-11T04:45:26+00:00,okx_web3,EC8egFiX38xDdR9Q2Xyps6yqnYe6nCLfcDNYUvU7kb1B,EC8egFiX38,10,25.5396,20688.09953347285,12931.70447225954,50.0,177,20912.317375247745,KINS,https://web3.okx.com/portfolio/EC8egFiX38xDdR9Q2Xyps6yqnYe6nCLfcDNYUvU7kb1B/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,2WM7WkBtBrpgWPQ6ne9X4BjPJhW6YzaGhyvYq5pfiT2i,2WM7WkBtBr,13,25.3392,15731.766213704366,1497.4267695720528,66.6667,31,17457.41155947901,LOKI|SOLFC,https://web3.okx.com/portfolio/2WM7WkBtBrpgWPQ6ne9X4BjPJhW6YzaGhyvYq5pfiT2i/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK,I̶l̷y̶,3,22.371,47314.822387667824,687.0385909530934,36.8421,78,68043.64970653123,Jotchua|ELON|wCAT,https://web3.okx.com/portfolio/AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,338PNcRSzaJksX1ZbfhcSid24LyijfRKTDx4QzQNmgY6,338PNcRSza,6,19.381,33677.34920045117,397.58322310983476,32.1429,245,51092.58806884759,SLAB|scooby|GenZ,https://web3.okx.com/portfolio/338PNcRSzaJksX1ZbfhcSid24LyijfRKTDx4QzQNmgY6/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,decu,8,18.5135,26504.70997013303,22.864351698322533,65.9542,2690,263893.5397018592,Popcat|BountyCraft|APU,https://web3.okx.com/portfolio/4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww,Domy,2,18.2208,58952.69267147467,16.73894922260951,41.5617,3108,764942.1721655426,Nietzschean|drillpigius|Tung,https://web3.okx.com/portfolio/3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,78N177fzNJpp8pG49xDv1efYcTMSzo9tPTKEA9mAVkh2,Sheep,20,17.9291,12648.359565673072,65.26828621397998,82.9545,365,53038.1497438033,MABEL|Company|ATTENTION,https://web3.okx.com/portfolio/78N177fzNJpp8pG49xDv1efYcTMSzo9tPTKEA9mAVkh2/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,Doji,5,17.7934,36528.82522965552,61.45721482887721,50.0,874,167523.3913223386,GRIND|Mindanao|Memetic,https://web3.okx.com/portfolio/5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,3CkgBB2ryzxQuSmzPSQ53jtVffPf1Wb1t1HBVs8GmGfw,3CkgBB2ryz,1,17.6881,63841.63010823175,185.47463270345133,22.5,334,140872.3421277668,KINS|Magpie|FIN,https://web3.okx.com/portfolio/3CkgBB2ryzxQuSmzPSQ53jtVffPf1Wb1t1HBVs8GmGfw/analysis?chainIndex=501
2026-06-11T04:45:26+00:00,okx_web3,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,trunoest,17,17.4662,13072.381379169807,10.6230346313378,60.4712,2489,260272.99309335294,Bear|Garrett|POKELIQUID,https://web3.okx.com/portfolio/ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT/analysis?chainIndex=501
